idx	C3L-01663	C3N-03486	C3L-02665	C3L-02163	C3N-03875	C3N-01846	C3N-02375	C3L-02619	C3L-02649	C3N-02339	C3N-02252	C3N-02285	C3N-02288	C3L-02963	C3L-02627	C3L-00568	C3L-02349	C3L-04071	C3N-01893	C3L-00081	C3N-01194	C3L-03961	C3N-01025	C3L-00927	C3L-04391	C3L-00415	C3L-02170	C3N-02300	C3N-03662	C3L-02951	C3N-01028	C3L-02130	C3N-03092	C3N-03424	C3N-04155	C3L-02969	C3L-02127	C3L-02650	C3L-00603	C3L-02625	C3L-01606	C3N-02425	C3N-01892	C3N-03441	C3L-03963	C3L-04014	C3L-00923	C3N-03072	C3L-01285	C3L-02660	C3N-00555	C3L-01000	C3L-02891	C3N-03093	C3N-02374	C3N-03051	C3N-03886	C3N-02675	C3L-04013	C3N-03425	C3L-01838	C3L-03965	C3L-03272	C3L-00993	C3L-00904	C3N-02434	C3L-02669	C3L-00965	C3N-02283	C3L-03678	C3L-02968	C3N-00247	C3L-02164	C3L-02552	C3N-03880	C3N-02435	C3N-03076	C3L-02646	C3N-02523	C3L-02964	C3L-03962	C3L-02629	C3L-02168	C3N-02289	C3N-02426	C3N-02494	C3N-03848	C3L-02546	C3N-00211	C3N-01017	C3N-03204	C3N-00221	C3N-03882	C3N-03851	C3N-02284	C3L-00445	C3L-01455	C3N-04124	C3N-04162	C3L-03961	C3L-01884	C3L-02358	C3N-01411	C3N-01020	C3N-00497	C3N-04127	C3L-02648	C3N-03877
hsa-let-7e-5p	10.763	8.8161	9.7911	10.2019	9.2301	10.7894	9.0134	9.9103	10.0629	11.1636	10.5262	10.505	10.1912	10.9858	9.6429	12.1144	10.6532	9.4452	10.9675	11.6721	9.2806	10.571	9.1612	10.2342	10.3478	12.5481	11.0307	11.1581	9.651	10.2921	10.1113	10.1144	9.2776	10.4873	8.9912	9.048	9.677	9.9434	10.8317	8.1102	10.6318	8.8423	10.512	10.5478	10.1839	10.1463	10.7919	10.4396	9.8461	10.3973	9.8838	11.397	10.3257	9.7766	10.2021	9.9112	9.6835	10.0952	10.3842	10.8992	11.366	9.7165	8.3828	9.0721	9.9972	10.6452	9.6765	9.6355	13.095	9.8418	10.1664	10.7121	11.2799	11.6855	8.6657	10.5655	10.4508	9.9998	9.7948	10.3422	9.3322	9.8208	10.1416	11.0062	11.2374	9.1801	10.3834	10.6633	11.0941	10.8795	9.7564	10.2302	7.2211	9.9704	10.26	10.6548	10.9829	9.3133	8.4533	10.3564	9.2576	10.4358	9.5022	10.9798	12.5355	10.0462	10.0273	9.7877
hsa-let-7f-1-3p	1.2576	3.1395	1.786	2.0788	2.2572	2.5439	2.3235	1.1864	2.2682	2.0383	2.0798	1.7918	2.0951	2.2085	1.9144	2.3713	2.7146	2.537	2.5707	1.6151	2.2527	2.3215	1.537	2.5265	2.2301	1.4288	2.1622	2.5108	2.8009	1.7794	1.7993	1.9053	2.047	1.2991	2.6573	1.4943	2.7259	2.0298	0.7839	2.5015	1.4006	3.0063	2.1829	1.1077	2.2131	2.2255	1.7817	2.7358	2.326	2.3078	1.8111	2.4499	1.4427	2.4809	1.3622	2.6638	2.3855	3.1132	1.877	2.1597	2.1337	2.4025	3.0633	0.9138	1.7009	1.5836	2.1692	2.5988	0.2321	1.9393	2.6025	2.6975	1.5105	2.1082	2.7474	1.5254	1.5733	2.8343	1.9832	1.8475	2.2894	2.3363	2.28	1.9576	2.0547	2.0232	1.8572	2.0535	2.5987	1.4707	2.2848	2.0363	2.172	0.8006	2.0592	2.5217	2.4997	2.0151	2.8847	1.7891	1.4884	1.9477	2.3961	3.1987	1.7029	2.1663	2.1394	0.839
hsa-let-7f-2-3p	0.4016	1.3383	0.7652	0.6041	1.8822	0.4414	1.5862	1.2736	0.5628	0.4146	1.2086	0.673	1.1231	1.61	1.5552	0	0.9634	0.9057	0.5272	0	0.2609	0.7532	0.7767	0.6606	0.6358	0.2768	1.6603	0.3715	0.5123	1.2001	0	0.8064	0.7848	0.5723	1.921	0.4473	1.0151	1.0664	1.0937	0.5232	1.3299	0.5167	0.9147	0.8237	1.3786	1.3049	0	1.4025	0	1.4626	0	1.4779	0.3922	1.2855	0.9051	0.8327	0.9553	1.4628	0.5802	0.4296	0.2771	0.3737	1.4605	1.0738	0.5596	0.2221	0.7522	1.2601	1.0336	1.2197	1.0105	0	1.0909	0.6068	1.3293	0	0.6937	1.4377	0.4095	1.3311	1.2656	1.1317	0.6804	0.9509	1.1653	0.5694	0.7275	0.4791	0.2776	0.5909	0.3127	1.351	0.9432	0.6944	0.7272	1.1461	0.5295	0.9355	0.8309	0	0.9282	0.9102	0.8897	0.4746	1.4007	0.719	0.5303	0
hsa-let-7f-5p	14.8975	15.5635	14.6238	15.2675	15.1389	15.2983	15.6263	15.1554	14.7942	14.8544	15.3206	15.0974	15.6311	15.0499	15.1984	15.423	15.5553	14.8045	15.655	14.9373	14.9628	15.3247	15.6887	15.1318	14.8665	15.4312	15.5162	15.6962	14.9791	15.0347	15.1498	14.858	14.6014	15.3407	15.3976	15.1925	15.1528	14.8137	15.0536	15.0909	15.5482	15.5464	15.5329	15.6088	15.4583	15.2563	15.3774	15.2995	15.2958	15.3361	14.3594	15.7605	14.7718	14.6084	15.1571	15.048	15.5573	15.411	15.1267	14.7249	15.034	15.4485	15.7235	14.7107	15.1316	15.1857	14.7575	15.5125	14.4721	15.1129	15.0345	15.3319	15.7833	15.529	15.5173	14.8352	14.5093	15.1144	14.7329	15.2286	15.211	14.9345	15.2865	15.2683	15.4696	15.257	15.3547	15.3133	14.8726	15.7638	14.8798	15.4214	15.0546	14.2843	14.6232	15.6593	15.3405	14.8845	15.2426	15.647	15.1966	15.0858	15.6017	15.4204	15.6284	14.8507	14.8708	14.6353
hsa-let-7g-3p	0.4016	1.0136	1.1533	0.6996	0.4833	0.4414	0.448	0.888	0.7103	0.6369	0.2651	0.819	0	0.9752	0.6359	0	0.4927	0.789	0.3388	0	1.9164	0.543	0	1.6279	0.4533	0	0.3582	0.9116	0.6493	0.4053	0.2079	1.0863	0.4451	0.1657	0.7343	0.6278	0.1733	0.4832	0.5998	1.0654	0.1714	0.1935	0.4135	0.1742	0.7886	0	0.9821	0.7912	2.6052	1.1566	1.1097	1.3574	1.0659	0.7814	0.4319	0.9345	0.5553	0.5867	0.4813	1.5109	0.2771	1.2207	0.5531	1.0738	0.1615	0.7362	0.4649	0	0	0.9816	1.0105	0	0.6928	0.6871	0	0	0.8987	0.2643	0.2192	0.7222	0.405	0.3083	0.3116	0.9509	0.5636	0.4034	0.4787	0	0.4369	0	0	0.5292	0.7976	0.1682	0.523	0.2876	0.5295	0.9355	1.0637	0.9873	0.4448	0.3708	0	0.8312	0.4958	0.4726	0.1992	0.3368
hsa-let-7g-5p	13.8874	14.4097	14.1403	14.0232	14.5168	14.1869	14.3862	14.2132	14.1184	13.7644	14.3817	14.3351	14.4385	14.4236	14.0298	14.0166	14.458	14.0702	14.6364	13.5518	14.5625	14.2751	13.8636	13.8401	13.6282	14.0443	14.6248	14.4627	13.9469	14.2318	14.4807	14.173	13.966	14.5338	13.9019	14.6267	14.2138	13.8945	14.5208	14.4463	14.9023	14.2552	14.4129	14.5382	14.6703	14.0956	14.9756	14.059	14.7167	14.3808	13.7831	14.8242	14.0546	14.3985	14.2653	14.103	14.3424	14.6169	14.0788	14.1917	14.014	14.5042	14.4612	14.0996	14.0603	14.89	13.8132	14.5606	13.1388	14.6446	14.4994	14.6512	15.23	14.4132	14.8056	14.0145	13.867	14.0422	14.0157	14.5492	14.0367	14.3992	14.1987	14.3109	14.4462	14.5707	14.6525	14.5118	13.6619	14.3351	13.9022	14.2468	13.7256	13.5191	13.9403	14.4781	14.5542	14.2419	14.1153	15.0608	14.2453	13.9456	13.9298	14.8193	14.6307	13.9441	14.1673	13.7602
hsa-let-7i-3p	4.3707	5.0634	5.1119	4.8827	4.6597	4.5465	4.3689	4.4674	5.468	5.1368	4.0991	4.8965	4.367	4.9115	5.0378	3.6547	4.4348	5.4139	4.8118	3.7652	6.6481	4.9775	4.5886	5.1589	5.2829	2.2653	5.1754	4.8235	4.9469	4.5068	5.0484	5.9492	5.0306	5.3889	5.1061	5.5201	4.3949	5.0325	5.2871	6.3718	4.5363	4.0697	4.7901	4.8947	5.4031	4.4322	5.3869	5.0506	6.0095	5.058	5.5585	4.7961	6.127	5.7407	4.2328	4.902	5.5787	4.6417	4.7248	5.7064	4.7116	5.3546	5.1948	5.3575	4.7004	4.6892	4.9055	5.3978	3.6856	4.5657	5.2919	5.419	5.4842	4.9852	4.7122	4.9086	5.0164	4.5982	5.2635	4.3569	5.4872	4.9933	4.8917	5.2474	3.9921	5.1505	4.815	4.4091	4.6908	3.2252	5.281	4.8203	4.6001	4.7262	4.2743	3.9698	5.4706	5.0747	5.0481	5.1797	4.1237	4.3774	4.7554	4.7464	3.7112	5.0908	5.8284	4.2882
hsa-let-7i-5p	12.7829	13.4171	12.912	12.9644	13.2956	13.1386	12.9388	13.1081	13.478	14.0556	12.88	13.2176	13.375	13.2619	12.9376	13.326	12.9904	13.4702	13.1113	13.0184	13.5504	13.0914	13.2805	13.2248	13.1722	12.6877	13.6802	13.4716	13.1477	13.4508	13.6127	13.5048	12.6633	13.3817	12.8659	13.3446	13.345	12.9542	12.7609	13.5229	14.2483	12.5213	13.3649	13.4217	13.489	12.9252	13.4433	13.3724	14.5834	13.2294	12.6407	13.2739	13.0923	13.9913	12.9657	12.9399	14.1425	13.0734	12.7261	13.5617	13.1187	13.3355	13.2717	13.4709	13.2126	13.2059	12.9758	13.1081	12.4706	13.0554	13.5183	13.4775	13.9203	13.4887	13.3738	13.6447	12.9827	13.1002	13.2517	13.3493	13.5471	13.3424	13.2728	13.3621	13.2055	13.4311	13.3546	13.2884	13.4509	12.8526	12.9335	12.7129	12.4982	12.5554	13.1915	13.2853	13.7339	13.179	13.152	13.4756	12.8731	13.1706	12.8066	13.4042	13.1223	13.1874	13.1293	12.4671
hsa-miR-1-3p	8.2866	7.0549	8.7335	6.0332	6.9492	6.3009	5.8069	7.2597	6.2432	5.9858	8.7927	9.662	7.4691	6.833	7.2786	5.6351	8.4036	6.5682	8.0919	5.6179	7.3161	8.1351	6.2322	3.7471	6.7958	5.485	8.9028	7.1214	7.9037	7.2949	7.0377	7.9441	8.492	9.603	7.3549	7.4595	7.4509	8.2057	9.189	6.942	8.7682	5.2711	7.8234	10.4622	8.6565	8.8528	10.4557	7.0073	5.0952	9.6688	6.7743	9.5045	8.7522	7.2397	6.6305	7.1809	10.5906	8.7281	5.1316	5.8976	7.3831	9.3208	6.1396	7.9313	7.5866	2.7353	7.501	9.1061	9.0048	8.2259	8.3338	8.0162	8.9999	7.6497	6.1482	7.6375	7.6469	8.4229	7.701	6.8457	5.8775	8.822	7.9968	8.4251	7.1786	7.7157	7.9774	7.2674	7.5237	7.6829	6.0121	7.1421	5.1045	5.1892	5.7337	7.8569	9.6152	6.1552	7.1713	8.9388	6.4777	6.9655	8.7763	7.2799	6.964	7.625	7.9068	8.553
hsa-miR-1-5p	0	0	0	0	0	0	0	0	0	0	0.7706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2168	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3296	0	0	0	0	0	0	0	0	0	0	0	0	0	0.323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2088	0	0.4448	0	0	0	0	0	0	0.1782
hsa-miR-100-3p	0.1467	0	0	0	0.6753	0	0	0.888	0.3985	0	0	0.1176	0	0.4459	0.9777	0	0	0.1961	0.7705	0.2836	0.2609	0.1561	0.5612	0	0.1274	0	1.0891	0.258	0.3609	0	0	0.9059	2.2061	0.7911	0	0.7882	0	0.3767	0.2705	0.1962	0	0	0	0	0.5225	0.6675	0.166	0.4492	0	0.3373	0	0	1.1697	0.9249	0.2321	0.9345	0.2098	0.8096	0	0.3001	0.2771	0.6703	0.1594	0.7338	0.4387	0	0	0.6071	0.4319	0.1225	0.592	0.989	0.9445	0.4314	0	0	0.3184	0.2643	0.728	0.2828	0.2822	0	0	0.4215	0.3638	0.4034	1.1246	0.2111	0.2349	0	1.3637	0	0	0	0	0	0.2889	0	0	0.5765	0	0.4503	0.2788	0	0.8641	0	0.5303	1.2109
hsa-miR-100-5p	12.7742	11.8006	11.9255	10.105	11.9595	11.9339	10.6342	12.5686	12.6831	12.8775	12.611	12.3726	11.7015	14.1645	12.445	12.3831	12.152	12.8057	12.2379	11.3239	11.9184	12.4753	11.754	7.8088	11.6123	11.7278	13.557	12.4928	11.9819	12.9086	12.7803	12.8072	15.224	13.278	11.3793	11.9707	11.1807	12.1373	11.7503	11.6454	11.8814	9.963	12.7073	13.0459	12.7816	12.4855	13.3962	11.6425	9.8805	13.4978	11.823	13.5482	12.9672	13.093	10.8191	12.1054	12.2925	13.3989	11.1079	11.8343	12.5832	12.1981	11.6298	11.6346	11.7795	9.2538	11.9481	12.5022	13.601	11.6081	12.2246	12.4459	13.3099	13.2502	11.8165	12.0659	12.042	12.1217	11.9127	12.3484	10.995	13.0355	11.9276	13.284	12.2813	13.1253	12.992	13.0559	11.8576	12.2054	12.3755	10.9211	9.3449	12.2627	9.8999	11.925	12.527	12.4686	10.824	13.307	11.8679	11.8569	11.4981	12.7374	12.9143	12.7224	11.8904	11.8424
hsa-miR-101-3p	10.2295	11.9272	11.2391	11.0398	12.0084	11.2277	11.8761	11.6247	11.5226	10.1841	11.4337	11.4785	11.2648	10.9773	12.176	10.811	11.8757	11.6332	10.8725	9.7055	11.6021	11.9896	11.8895	10.8009	11.525	10.937	12.1201	11.804	11.2263	12.1594	11.1981	11.7357	11.8555	12.04	12.036	12.1403	11.1172	12.2632	12.2539	11.6911	9.9677	11.9913	11.2061	12.3789	12.0863	11.7894	11.7113	11.0132	10.0314	11.865	12.6237	11.8094	12.2935	11.9901	11.2075	11.8883	12.1176	11.7865	11.7773	11.1604	10.5459	11.745	12.5683	12.0226	11.6572	11.3652	10.8567	12.5357	11.4115	11.8744	12.6167	10.5772	11.8151	10.4465	12.1372	11.5599	12.0177	11.2363	11.8472	11.8784	11.9835	11.7331	11.3026	11.3252	11.4831	12.7733	12.1233	11.7015	10.4063	10.8271	10.2067	10.9467	10.7514	11.6181	11.7362	11.3896	11.7512	11.4978	12.3978	12.805	11.3358	11.1971	11.8986	12.0214	11.5077	11.5906	11.2735	11.4132
hsa-miR-101-5p	0.7154	0.4219	0.2325	0.7892	0.5825	0	0	1.2736	0.5628	0.8294	0	0.2263	0.4779	0	0.7591	0	0.3464	0.662	0.3388	0	0	0.4252	0	0	0.3526	0	0.1295	0.1347	0.7745	0.9805	0.551	0.8064	0.9737	0.1657	0.9478	0.7882	0.1733	0.3767	0.2705	1.0143	0	0.1935	0	0.3296	1.1135	0.7952	0.6867	0	0	1.4626	0.8254	0.4166	0.3922	0.6221	0.2321	0.9345	0.3929	0.5867	0.9928	0.3001	0.9657	0	0.4334	1.0738	1.047	0.2221	0	1.0331	0.7639	0	0	0.1899	0.9445	0.2318	0.7419	0	0.3184	0.4876	1.1034	0.1483	0.5181	0.5622	0.6804	0.6725	0.3638	0	0.7275	0.3952	0.2776	0	0	0.5292	0	0.8995	0.1496	0	0.1517	1.0459	0.3912	0.3169	0	0.2867	0.5124	1.1168	0.4958	0	0.3742	0.4797
