idx	C3N-03848	C3L-03272	C3N-02494	C3L-00568	C3L-02625	C3L-00923	C3N-03204	C3N-03093	C3L-01455	C3N-01017	C3L-02627	C3N-03441	C3L-02660	C3L-02963	C3N-02339	C3N-03425	C3L-02650	C3L-02546	C3N-03875	C3N-04162	C3N-02374	C3L-02168	C3N-03877	C3L-01884	C3N-04127	C3N-02435	C3L-02969	C3N-00497	C3L-03962	C3N-04124	C3N-02252	C3N-01846	C3L-02163	C3N-02675	C3L-02964	C3N-02375	C3L-02127	C3L-04013	C3L-02665	C3L-00993	C3N-03882	C3N-00221	C3N-02425	C3L-03963	C3L-04071	C3N-00555	C3L-01000	C3L-02358	C3L-00603	C3L-02130	C3L-02669	C3N-03092	C3N-02575	C3L-02619	C3N-03851	C3L-02552	C3L-02164	C3N-01411	C3N-03486	C3N-02426	C3L-02648	C3L-02349	C3N-02434	C3L-03965	C3L-00904	C3N-03076	C3L-04014	C3N-02523	C3L-02649	C3L-00415	C3N-01020	C3N-01025	C3N-03424	C3L-03961	C3N-01028	C3L-00445	C3L-01285	C3L-02968	C3L-02891	C3N-03880	C3N-02289	C3L-04391	C3L-00927	C3L-01606	C3L-02951	C3L-01663	C3L-00081	C3N-02288	C3N-03051	C3N-01194	C3N-01892	C3N-02285	C3N-01893	C3L-02629
hsa-let-7e-5p	10.157	10.7543	10.1164	10.7774	10.4787	10.775	10.8359	11.1977	11.2029	10.3589	10.1038	10.3403	11.2053	10.717	10.7712	10.6748	10.5935	11.2345	10.6573	10.8379	10.838	11.4864	10.5003	9.968	10.4028	9.9161	10.2728	11.2711	10.6171	10.212	10.9468	11.3863	10.7735	11.1732	10.4928	11.2136	10.6822	10.7641	10.1273	10.8568	10.6294	9.8406	10.8661	10.0248	10.2178	11.0535	10.8849	11.085	11.2489	11.2284	10.4434	10.5713	11.1192	10.9932	10.4798	11.0586	11.1674	10.8266	11.0168	11.2718	10.9362	10.8551	10.8181	11.292	10.622	10.8415	10.7179	10.3221	10.3098	11.1901	10.6815	10.7818	11.0101	10.816	10.6675	10.7839	10.5053	10.7741	10.954	10.5944	10.7837	10.4517	11.0443	10.7531	10.4993	10.8334	10.3504	10.7063	10.8814	11.0984	10.61	10.7396	10.9876	10.9617
hsa-let-7f-1-3p	2.3378	2.2812	1.9861	2.0199	2.0964	1.5886	2.0099	2.3202	2.0546	1.9582	1.7451	1.614	1.707	2.3017	2.1237	2.2081	2.5891	1.7173	1.5995	2.0965	2.1416	2.3965	1.9835	1.3368	2.0317	2.0493	1.6975	1.6594	1.9164	1.9482	2.4754	1.7857	2.1111	2.6212	1.781	1.7368	2.118	2.1626	1.9451	2.225	2.2304	1.9562	1.7878	1.9611	1.9744	2.0249	1.8964	1.2763	1.6456	2.0749	1.9946	2.5869	1.9546	2.0768	2.3248	1.7259	2.2241	2.602	2.884	2.1122	1.8251	2.484	2.0572	1.6911	1.5661	1.8831	1.8956	2.4049	1.7975	2.0506	2.1695	1.3843	1.9724	2.2301	2.1256	2.8068	1.6016	1.9631	2.2089	1.9217	2.3136	2.4148	2.4908	1.5296	2.2177	1.6767	1.5156	2.1617	1.9943	1.7424	2.3241	1.1596	1.4443	1.7969
hsa-let-7f-2-3p	0.4776	0.423	1.0362	0.8365	0.7892	0.8097	0.4322	0.9812	0.5933	0.1858	0.923	0.3132	0.5941	1.0683	0.5653	1.0998	0.5421	0.7741	0	1.1904	1.5102	0.806	0.3175	1.077	1.2784	0.7861	0	0.9634	0.799	0.398	0.5102	0.5521	0.8111	1.3558	0.5727	0.7489	1.0017	0.6423	0.5879	0.479	0.5337	1.1599	0.3165	0.8562	0.7634	0.5464	0.2651	0.8479	0.472	0.9487	0.4456	0.4504	1.1702	0.1747	0.8627	0.4483	0.4156	1.8663	0.5672	0.1675	0.3983	0.1433	0.5377	0.8564	0.4774	0.7072	0.7486	1.4072	0.3626	0.6077	0.3218	0.2375	0.1158	0.9192	0.9088	0.9997	0.747	0.8926	0.575	0.7631	0.1334	1.0187	0.4873	0.6785	0.9715	0.2627	0.6609	1.0438	0.1461	0.6402	1.4028	1.0852	0.4035	0.4759
hsa-let-7f-5p	15.8463	15.7677	15.8724	15.8545	15.9524	15.681	15.8885	15.7161	15.8458	15.8813	15.7328	15.5267	15.8818	15.7215	15.9008	15.7865	15.929	16.0874	15.7874	15.8475	15.9955	15.9212	15.755	15.7184	15.8972	15.6453	15.6485	15.7982	16.0398	15.7964	15.8783	15.8028	16.0579	16.0551	15.7942	16.0886	15.8672	15.7878	15.6431	15.6973	15.9697	15.6617	16.0861	15.6519	15.2292	15.9576	15.9197	15.856	15.7071	15.8685	15.7109	15.7423	15.9541	15.4999	15.7748	15.749	15.9233	16.0194	16.0153	16.075	15.9601	16.0123	15.8974	15.8764	15.4413	16.0545	15.8511	15.859	15.6344	15.7956	15.9439	15.8607	15.488	15.9011	15.9029	16.168	15.8624	15.9107	15.6256	15.7612	15.8465	15.8945	15.6852	15.7354	15.7633	15.8219	15.9742	16.1298	15.9199	15.871	15.9089	15.8905	16.0755	15.757
hsa-let-7g-3p	1.0332	0.9324	0.7388	0.6881	0.5708	0.5041	0.4322	0.8313	0.8592	0.9723	0.6416	0.8865	0.748	0.7918	0.4434	0.5621	1.3337	0.7741	0.4012	1.0974	0.6496	0.6077	0.4535	0.7601	1.3474	1.2921	0.6174	0.2298	0.9448	0.398	0.5102	0.3023	0.9302	0.4211	0.5727	0.1338	0.7383	0.4185	0.7405	0.6088	0.8346	0.991	0.8941	0.8562	0.983	0.6906	0.6826	0.7749	0	0.1171	0.9964	0.8914	1.0003	0.1747	0.7266	0.8878	0.2899	0.2875	0.5672	0.1675	0.8006	0.7916	0.5377	1.0095	0.1349	0.2118	0.5947	0.732	0.6521	1.0339	0.3218	1.2819	0.809	0.4666	0	0.8071	0	0.6717	0.9118	0	0.368	0.2963	0.2641	0.4256	0.6568	0.5843	0.5507	0.8255	0.8041	1.0039	0.4967	0.6423	1.4443	0.4759
hsa-let-7g-5p	14.708	14.6307	14.7965	14.9003	14.8124	14.7318	14.8015	14.44	14.7569	14.8319	14.6598	14.4566	14.6634	14.7662	14.8136	14.6597	14.8544	14.9121	14.6596	14.6824	15.1891	14.7798	14.7709	14.9772	14.7536	14.6156	14.6625	14.8055	14.6772	14.7809	14.9253	14.8242	14.9004	14.7268	15.138	14.928	14.8944	14.6342	14.6424	14.7249	14.7621	14.8006	14.9221	14.6369	14.3996	14.8244	14.7754	14.8763	14.699	14.7559	14.7331	14.6629	14.9	14.4634	14.6753	14.8214	14.9919	14.8581	14.9208	15.0107	14.7054	14.7899	14.8512	14.775	14.5861	14.7634	14.6905	14.7623	14.6398	14.7635	14.9765	14.7191	14.5285	14.7043	14.9493	14.8168	14.6748	14.9282	14.506	14.6412	14.7858	14.8128	14.6725	14.6223	14.6384	14.638	14.8832	14.8901	14.683	14.7913	14.9878	14.9691	14.8006	14.6704
hsa-let-7i-3p	4.6924	4.6016	4.6148	4.7275	4.4905	4.8798	4.7152	4.2347	4.969	4.8111	4.8356	5.3663	3.9217	3.8608	3.8868	4.735	4.7136	4.148	4.7871	4.5376	3.9143	4.2334	4.3969	4.8997	4.8949	4.6523	4.8306	4.717	4.0069	4.4571	4.1244	5.3362	4.9416	3.9231	5.2119	4.0491	4.8886	4.6506	4.5732	5.0224	4.5881	4.5373	5.0714	4.9799	5.5557	4.8622	4.5966	3.8412	3.8433	4.8404	4.5616	4.6891	4.3403	5.3407	5.0008	3.8563	5.5635	4.2203	4.225	3.7543	4.3723	4.2764	4.3992	4.6962	5.3985	4.1381	4.4314	4.3417	4.6603	5.2402	4.5386	4.3579	5.126	4.3011	4.9533	3.9182	4.5593	4.1051	5.2486	4.967	4.2783	4.3733	4.7612	4.6983	4.8222	5.3308	4.7932	4.2733	4.9667	4.7079	4.9156	4.6887	4.8458	4.5566
hsa-let-7i-5p	12.6388	12.7225	12.6448	13.0524	12.5713	12.8477	12.8821	12.7285	12.9447	12.8595	12.4918	12.707	12.5787	12.8804	12.9435	12.883	13.0198	12.5573	12.6921	13.2006	13.0655	12.7403	12.7991	13.1843	13.0502	12.6279	12.5995	12.9368	12.6216	12.5811	12.803	13.4514	12.7346	12.6595	13.3172	12.8063	13.0141	12.9111	12.8918	13.0401	12.5823	12.8313	12.9224	12.7873	13.1019	12.8044	12.7188	12.6397	12.6756	12.9281	12.9781	12.733	13.0369	13.1438	12.6187	12.9286	13.4629	12.6128	13.0648	12.7155	12.5497	12.6263	12.8735	12.7533	13.2567	12.7893	12.7543	12.7251	12.7356	13.0423	13.0903	12.6343	13.1448	12.672	12.8501	12.6069	12.7847	12.9013	13.1858	12.7911	13.3087	12.9643	12.845	12.7652	12.7057	13.0549	12.7249	12.8605	12.7261	13.0251	12.9685	13.105	12.7929	13.0216
hsa-miR-1-3p	10.2225	10.553	10.642	10.3656	11.0944	12.0612	9.991	9.7164	10.3293	10.4006	11.0497	10.6938	10.4118	10.3166	10.8509	9.7557	10.6318	10.4667	11.4109	10.2086	11.1406	10.1949	11.4595	10.8171	11.4062	11.0133	10.9627	10.2532	10.1796	10.8421	10.6709	9.8462	10.7116	10.2556	9.9938	11.2647	11.1828	10.5863	10.1902	10.7889	10.747	11.1374	10.4759	10.6037	9.7046	10.0932	10.2396	11.0409	10.2303	11.0793	10.4974	10.6873	10.8999	9.5933	10.1354	11.2694	10.1291	10.6478	10.7611	10.0189	10.9932	11.0025	9.9422	10.2938	11.4929	9.7692	10.5966	10.9389	10.6281	9.5962	10.6739	11.0816	11.4138	10.2832	10.6083	10.0671	9.9743	10.985	10.6237	11.2163	10.9389	10.8059	9.838	10.6964	10.612	10.2581	10.3433	10.6586	10.1434	11.0619	10.8778	11.6825	9.641	10.7797
hsa-miR-1-5p	0	0.423	0	0	0	0.5041	0.1589	0	0.3843	0	0.1532	0.3132	0.0795	0.2422	0.3102	0	0.6854	0	0.6176	0	0	0	0.1675	0	0	0	0.4011	0	0	0.1452	0	0.1591	0	0.0946	0	0	0.4159	0.1534	0	0	0.4176	0	0.1669	0	0.1884	0	0.2651	0.2361	0	0	0.6255	0	0	0.5993	0	0.6847	0	0	0.4449	0	0.1453	0.7018	0	0	0	0	0	0	0	0	0.1699	0	0.2229	0	0	0	0	0.0921	0	0.137	0	0	0	0	0.4009	0	0	0.2546	0	0.417	0.3877	0	0.1474	0
hsa-miR-100-3p	0.4776	0.5402	0.8191	0.3356	0.6841	0.665	0.1589	0.4747	0.1398	0	0.2916	0.3132	0	0.2422	0.4434	0.3627	0.383	0.3957	0.7147	0.1922	0.5126	0.3778	0.3175	0.1874	0	0.6814	0.2794	0.3323	0.7202	0.8852	0.2776	0.3023	0.5388	0.4211	0.1659	0.3692	0.5315	0.1534	0.4172	0.1779	0	0.93	0.7956	0.5489	0.6397	0.6906	0	0.1228	0	0.3261	0.5383	0.5739	0.322	0	0.4086	0.1654	0.7378	0.2875	0	0.5169	0.3983	0.5035	0.7463	0.3829	1.0556	0	0.5111	0.9117	0.1312	0.478	1.2476	0.62	0.416	0.7106	0.1969	0	0.2556	0.4806	0.4769	0.3772	0	0.5421	0.4873	0.2284	0.6568	0.5843	0	0.1329	0	0.2909	0.5981	0	0.2811	0
hsa-miR-100-5p	13.3913	13.5408	14.1176	13.5416	13.5348	13.5348	13.1743	12.9846	13.0575	12.8855	13.5996	13.276	13.321	13.6234	13.7166	13.8086	13.7723	13.5724	13.8381	13.3818	14.1459	13.2141	14.1385	13.9445	14.0075	13.6018	13.0292	13.1089	13.2088	13.5335	14.2656	12.7628	13.3357	13.2921	13.826	13.8202	13.2614	13.5447	13.1633	13.3945	13.3716	13.2011	13.6508	13.3026	13.2106	12.8874	13.1553	13.6339	13.3719	13.5196	13.4037	13.6356	13.9414	13.2403	13.3103	14.2916	13.5128	13.2354	13.6756	12.9735	13.4478	13.8597	13.8226	13.3009	13.8244	13.4426	13.8163	13.1014	13.1207	13.1144	13.7349	13.0056	13.5981	13.91	12.7812	13.1155	13.0916	13.458	13.2135	13.8085	13.6497	13.8106	12.6384	12.9968	13.4645	13.2647	13.416	13.9568	13.1376	13.4168	14.5581	13.9434	13.2215	13.2024
hsa-miR-101-3p	12.8762	12.2973	12.909	12.2898	12.5778	12.1385	12.5986	12.0061	12.3434	12.2154	12.8041	12.957	12.0113	12.3741	12.0072	12.249	12.1773	12.4596	12.5741	12.2847	13.0302	12.2893	12.2715	12.425	12.5332	12.9797	12.5137	12.1921	12.5443	12.6133	11.9806	11.7614	12.8563	12.1829	12.6966	12.3587	12.5285	12.5756	12.5035	12.0067	12.8566	12.5572	12.1909	12.5307	12.3045	12.2964	12.2838	12.0755	12.1914	12.3191	12.4528	12.3843	11.9925	12.0696	13.0562	11.7007	12.2592	12.4326	11.9281	12.2437	12.3054	12.2424	11.8089	12.8095	11.7794	12.5666	12.6054	13.2318	12.5102	12.0775	12.211	12.5931	11.857	12.5137	12.6191	12.1982	12.3834	12.9288	12.1342	12.1991	12.2385	12.4184	11.8039	12.1025	12.9986	11.8187	12.3944	12.5075	12.5641	11.854	12.4311	11.9202	12.5596	12.1065
hsa-miR-101-5p	1.0332	0.5402	1.2827	1.3626	1.366	0.877	0.6619	0.8313	1.1512	0.7546	0.6416	1.1456	0.6473	1.0683	0.8794	0.5621	0.8157	0.4798	0.9722	1.0974	0.3611	1.0339	1.1577	1.3368	1.1297	1.4911	1.8761	1.1433	1.0125	1.4854	0.9669	0.3023	1.1908	0.4924	1.2998	1.1154	1.0798	0.5347	1.3272	0.6088	1.7441	1.5325	1.073	1.729	1.2601	0.9417	1.0768	0.6166	0.6605	1.4282	0.4456	0.5739	0.5851	0.3305	1.0454	0.5713	0	1.0721	0.9733	0.5776	0.9663	1.4172	0.9286	0.935	0.4774	0.7072	1.239	1.4659	1.4903	0.478	0.9066	1.2819	1.0608	1.0132	1.3001	0.3218	1.4045	1.0386	0.4769	0.9971	0.8277	0.1558	0.38	1.3471	1.1898	0.5843	0.8587	0.6591	0.4003	1.2941	1.3456	0.924	1.606	0.4759
hsa-miR-103a-2-5p	1.5015	1.0158	1.7193	0.9054	1.1463	1.173	1.5176	0.4747	0.8592	1.4785	0.923	0.5704	1.5761	1.1888	1.2864	0.8174	1.4182	1.5717	1.494	1.512	2.3571	1.404	1.5092	1.9682	1.4132	0.7861	0.7146	0.6023	0.8738	1.4854	2.0272	0.5521	0.4618	1.106	2.0164	1.5579	0.9191	0.5347	1.2274	1.858	0.6411	0.6563	1.5057	0.8562	1.9222	1.0526	0.589	1.1663	1.1118	0.7454	0.8593	1.1515	0.8076	1.1102	1.3533	1.5576	1.0791	0.5271	1.4886	1.2352	0.3983	1.1719	0.8403	1.1478	1.7027	1.2771	0.9526	1.6289	1.1623	1.2872	1.3216	0.922	0.809	1.5408	0.9088	1.1695	0.747	0.8926	0.7532	1.0673	1.0465	0.6508	1.6367	1.3471	1.2298	1.3208	0.4315	0.6591	1.0467	1.4199	1.6112	1.362	1.196	1.2032
hsa-miR-103a-3p	13.6374	13.5532	13.3414	13.6746	13.5014	13.7932	14.026	13.9394	13.9838	14.2551	13.5468	13.9655	13.6785	13.9366	14.1068	13.8203	13.4982	13.865	13.5959	13.796	13.4841	13.8947	13.4678	13.7717	13.4861	13.3949	13.7145	14.166	13.6235	13.7163	14.0373	14.0466	14.0086	13.7543	14.0068	13.9344	13.9368	13.8373	13.7808	13.8852	13.4427	13.6443	14.1025	13.7473	13.5211	14.0649	14.4581	14.0403	13.9516	14.2783	13.685	13.8464	14.1039	14.5947	13.59	13.9405	14.0071	13.6819	14.0987	14.1404	13.634	14.1717	14.1415	13.7749	13.7226	13.72	13.6703	13.7012	13.6246	14.0608	14.046	13.648	13.6348	13.693	13.7793	14.1643	14.1727	13.8165	13.6377	13.3953	13.902	13.438	14.3767	13.8448	13.8025	14.2641	14.0549	14.1515	13.8607	14.1725	13.8206	14.0644	14.2541	13.7172
hsa-miR-105-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-105-5p	0	1.9407	0	0	0	0	0	1.7389	0.4926	0	0	0.1651	0	0	0.3102	0.1313	0	0	0	1.1904	0	0.2922	0.3175	0	0	0.6814	0	0	0	0	0	0.5521	0.105	0	0	0	0	0	1.9451	0	0	0	0.1669	2.3366	0.1884	0.6906	0.7705	0	0	0.5087	0	1.302	0.7006	0.1747	0	0	0.1522	0	1.2169	0.5169	0	0	0	0	0.372	0	0	0.1508	0.3626	0.7266	0	0	0.5036	0	0	0	0.6612	0.0921	0	0	0	0	0.9291	0	1.0628	2.136	0	0	0.1461	0.8335	0.4967	0.924	0	0.4759
